"data","cliques","impressoes","ctr","posicao"
"2026-08-31","146","9664","1.51","10.09"
"2026-09-01","126","9552","1.32","9.56"
"2026-09-02","121","13104","0.92","20.04"
"2026-09-03","106","11344","0.93","11.13"
"2026-09-04","122","11336","1.08","9.24"
"2026-09-05","87","9453","0.92","11.05"
"2026-09-06","120","9079","1.32","11.11"
"2026-09-07","139","10175","1.37","9.37"
"2026-09-08","149","11906","1.25","9.88"
"2026-09-09","134","11087","1.21","8.61"
"2026-09-10","146","12181","1.20","9.49"
"2026-09-11","130","10650","1.22","8.69"
"2026-09-12","108","8740","1.24","10.34"
"2026-09-13","129","9695","1.33","10.83"
"2026-09-14","164","11273","1.45","8.85"
