"aeroporto","cluster","consultas","cliques","impressoes","posicao_media"
"GRU","proximidade","56","0","990","43.80"
"GRU","barato","18","1","147","48.72"
"GRU","preco","154","0","1749","44.06"
"VCP","proximidade","41","7","623","17.77"
"VCP","barato","9","3","148","14.35"
"VCP","preco","47","4","705","17.39"
"CNF","proximidade","20","1","133","21.29"
"CNF","barato","5","0","40","11.10"
"CNF","preco","33","1","209","20.00"
"CWB","proximidade","13","2","74","8.43"
"CWB","barato","5","1","71","9.04"
"CWB","preco","29","7","391","12.49"
