"aeroporto","cluster","consultas","cliques","impressoes","posicao_media"
"GRU","proximidade","129","42","16857","43.38"
"GRU","barato","31","34","2821","31.69"
"GRU","preco","244","40","25887","30.41"
"VCP","proximidade","118","290","24381","9.19"
"VCP","barato","29","83","4038","11.14"
"VCP","preco","95","166","27618","10.24"
"CNF","proximidade","58","21","2664","17.35"
"CNF","barato","15","10","497","14.92"
"CNF","preco","68","12","2391","13.32"
"CWB","proximidade","38","61","3155","11.04"
"CWB","barato","7","53","1631","8.52"
"CWB","preco","48","169","10245","9.90"
