"aeroporto","cluster","consultas","cliques","impressoes","posicao_media"
"GRU","proximidade","129","44","17090","43.07"
"GRU","barato","31","34","2827","31.53"
"GRU","preco","242","40","25563","30.51"
"VCP","proximidade","118","297","24474","9.07"
"VCP","barato","29","85","4060","10.90"
"VCP","preco","94","170","27779","10.18"
"CNF","proximidade","58","19","2619","17.52"
"CNF","barato","15","9","456","15.34"
"CNF","preco","67","11","2252","13.15"
"CWB","proximidade","38","61","3151","10.96"
"CWB","barato","7","53","1642","8.52"
"CWB","preco","48","171","10262","9.86"
